t_s,Q_m3_s,C_p_mg_m3
2207,1.3126,1103.37
2208,1.31352,1102.59
2209,1.31444,1101.81
2210,1.31537,1101.04
2211,1.31629,1100.26
2212,1.31721,1099.49
2213,1.31812,1098.72
2214,1.31905,1097.95
2215,1.31996,1097.18
2216,1.32088,1096.41
2217,1.3218,1095.64
2218,1.32272,1094.88
2219,1.32364,1094.11
2220,1.32456,1093.35
2221,1.32548,1092.59
2222,1.32639,1091.83
2223,1.32731,1091.07
2224,1.32823,1090.31
2225,1.32915,1089.56
2226,1.33006,1088.8
2227,1.33098,1088.05
2228,1.3319,1087.29
2229,1.33281,1086.54
2230,1.33373,1085.79
2231,1.33464,1085.04
2232,1.33556,1084.3
2233,1.33648,1083.55
2234,1.33739,1082.8
2235,1.3383,1082.06
2236,1.33922,1081.32
2237,1.34013,1080.57
2238,1.34105,1079.83
2239,1.34196,1079.09
2240,1.34288,1078.36
2241,1.34379,1077.62
2242,1.3447,1076.88
2243,1.34562,1076.15
2244,1.34653,1075.41
2245,1.34744,1074.68
2246,1.34836,1073.95
2247,1.34927,1073.22
2248,1.35018,1072.49
2249,1.35109,1071.76
2250,1.35201,1071.04
2251,1.35292,1070.31
2252,1.35383,1069.59
2253,1.35474,1068.86
2254,1.35565,1068.14
2255,1.35656,1067.42
2256,1.35747,1066.7
2257,1.35838,1065.98
2258,1.35929,1065.27
2259,1.3602,1064.55
2260,1.36111,1063.84
2261,1.36202,1063.12
2262,1.36293,1062.41
2263,1.36384,1061.7
2264,1.36475,1060.99
2265,1.36566,1060.28
2266,1.36656,1059.57
2267,1.36747,1058.86
2268,1.36838,1058.15
2269,1.36929,1057.45
2270,1.3702,1056.75
2271,1.3711,1056.04
2272,1.37201,1055.34
2273,1.37292,1054.64
2274,1.37382,1053.94
2275,1.37473,1053.24
2276,1.37564,1052.55
2277,1.37654,1051.85
2278,1.37745,1051.15
2279,1.37836,1050.46
2280,1.37926,1049.77
2281,1.38017,1049.07
2282,1.38107,1048.38
2283,1.38198,1047.69
2284,1.38288,1047.01
2285,1.38379,1046.32
2286,1.38469,1045.63
2287,1.38559,1044.95
2288,1.3865,1044.26
2289,1.3874,1043.58
2290,1.38831,1042.9
2291,1.38921,1042.21
2292,1.39011,1041.53
2293,1.39102,1040.85
2294,1.39192,1040.18
2295,1.39282,1039.5
2296,1.39372,1038.82
2297,1.39462,1038.15
2298,1.39553,1037.47
2299,1.39643,1036.8
2300,1.39733,1036.13
2301,1.39823,1035.46
2302,1.39913,1034.79
2303,1.40003,1034.12
2304,1.40093,1033.45
2305,1.40183,1032.78
2306,1.40274,1032.12
2307,1.40363,1031.45
2308,1.40453,1030.79
2309,1.40543,1030.13
2310,1.40634,1029.46
2311,1.40723,1028.8
2312,1.40813,1028.14
2313,1.40903,1027.48
2314,1.40993,1026.83
2315,1.41083,1026.17
2316,1.41173,1025.51
2317,1.41263,1024.86
2318,1.41352,1024.2
2319,1.41442,1023.55
2320,1.41532,1022.9
2321,1.41622,1022.25
2322,1.41711,1021.6
2323,1.41801,1020.95
2324,1.41891,1020.3
2325,1.4198,1019.65
2326,1.4207,1019.01
2327,1.4216,1018.36
2328,1.42249,1017.72
2329,1.42339,1017.07
2330,1.42428,1016.43
2331,1.42518,1015.79
2332,1.42608,1015.15
2333,1.42697,1014.51
2334,1.42787,1013.87
2335,1.42876,1013.23
2336,1.42965,1012.6
2337,1.43055,1011.96
2338,1.43144,1011.33
2339,1.43234,1010.69
2340,1.43323,1010.06
2341,1.43413,873.908
2342,1.43502,763.754
2343,1.43591,674.641
2344,1.4368,602.554
2345,1.4377,544.24
2346,1.43859,497.07
2347,1.43948,458.911
2348,1.44038,428.041
2349,1.44127,403.064
2350,1.44216,382.852
2351,1.44305,366.49
2352,1.44394,353.242
2353,1.44484,342.508
2354,1.44573,333.807
2355,1.44662,326.748
2356,1.44751,321.015
2357,1.4484,316.354
2358,1.44929,312.557
2359,1.45018,309.459
2360,1.45107,306.925
2361,1.45196,304.846
2362,1.45285,303.134
2363,1.45374,301.719
2364,1.45463,300.543
2365,1.45552,299.56
2366,1.45641,298.733
2367,1.4573,298.031
2368,1.45818,297.431
2369,1.45907,296.912
2370,1.45996,296.46
2371,1.46085,296.061
2372,1.46174,295.704
2373,1.46262,295.382
2374,1.46351,295.089
2375,1.4644,294.817
2376,1.46529,294.564
2377,1.46617,294.326
2378,1.46706,294.1
2379,1.46795,293.883
2380,1.46883,293.674
2381,1.46972,293.471
2382,1.47061,293.274
2383,1.47149,293.08
2384,1.47238,292.89
2385,1.47326,292.703
2386,1.47415,292.519
2387,1.47503,292.336
2388,1.47592,292.154
2389,1.47681,291.974
2390,1.47769,291.795
2391,1.47857,291.617
2392,1.47946,291.44
2393,1.48034,291.263
2394,1.48123,291.088
2395,1.48211,290.912
2396,1.483,290.737
2397,1.48388,290.563
2398,1.48476,290.389
2399,1.48564,290.215
2400,1.48653,290.041
2401,1.48741,232.375
2402,1.48829,186.146
2403,1.48918,149.093
2404,1.49006,119.397
2405,1.49094,95.6024
2406,1.49182,76.5384
2407,1.4927,61.2669
2408,1.49358,49.0353
2409,1.49447,39.2399
2410,1.49535,31.3966
2411,1.49623,25.1174
2412,1.49711,20.091
2413,1.49799,16.0681
2414,1.49887,12.8489
2415,1.49975,10.2731
2416,1.50063,8.21249
2417,1.50151,6.56423
2418,1.50239,5.24601
2419,1.50327,4.1919
2420,1.50415,3.3491
2421,1.50503,2.67536
2422,1.50591,2.13684
2423,1.50679,1.70647
2424,1.50767,1.36258
2425,1.50855,1.08783
2426,1.50943,0.868351
2427,1.5103,0.693054
2428,1.51118,0.553063
2429,1.51206,0.441285
2430,1.51294,0.352046
2431,1.51382,0.280812
2432,1.51469,0.223959
2433,1.51557,0.17859
2434,1.51645,0.142391
2435,1.51733,0.113513
2436,1.5182,0.0904781
2437,1.51908,0.0721071
2438,1.51996,0.0574577
2439,1.52083,0.0457779
2440,1.52171,0.0364669
2441,1.52258,0.0290455
2442,1.52346,0.023131
2443,1.52434,0.0184182
2444,1.52521,0.0146634
2445,1.52609,0.0116724
2446,1.52696,0.00929013
2447,1.52784,0.00739297
2448,1.52871,0.00588238
2449,1.52959,0.00467976
2450,1.53046,0.00372246
2451,1.53134,0.00296055
2452,1.53221,0.00235425
2453,1.53308,0.00187183
2454,1.53396,0.00148806
2455,1.53483,0.00118279
2456,1.53571,0.000940009
2457,1.53658,0.000746953
2458,1.53745,0.000593459
2459,1.53833,0.000471438
2460,1.5392,0.00037445
2461,1.54007,0.000297372
2462,1.54094,0.000236126
2463,1.54182,0.000187466
2464,1.54271,0.000148811
2465,1.54361,0.000118109
2466,1.5445,9.37277e-05
2467,1.54539,7.4368e-05
2468,1.54628,5.89983e-05
2469,1.54718,4.6798e-05
2470,1.54807,3.71151e-05
2471,1.54896,2.94312e-05
2472,1.54985,2.33346e-05
2473,1.55074,1.84982e-05
2474,1.55163,1.46619e-05
2475,1.55253,1.16195e-05
2476,1.55342,9.20705e-06
2477,1.55431,7.29437e-06
2478,1.5552,5.77816e-06
2479,1.55609,4.57642e-06
2480,1.55698,3.62408e-06
2481,1.55787,2.86949e-06
2482,1.55876,2.27167e-06
2483,1.55965,1.79814e-06
2484,1.56054,1.42309e-06
2485,1.56143,1.12611e-06
2486,1.56232,8.90966e-07
2487,1.56321,7.04818e-07
2488,1.5641,5.57479e-07
2489,1.56499,4.40874e-07
2490,1.56588,3.48606e-07
2491,1.56677,2.75607e-07
2492,1.56765,2.17862e-07
2493,1.56854,1.72189e-07
2494,1.56943,1.36071e-07
2495,1.57032,1.07513e-07
2496,1.57121,8.49362e-08
2497,1.57209,6.709e-08
2498,1.57298,5.29857e-08
2499,1.57387,4.18402e-08
2500,1.57476,3.30342e-08
2501,1.57564,2.60777e-08
2502,1.57653,2.0583e-08
2503,1.57742,1.62436e-08
2504,1.5783,1.28172e-08
2505,1.57919,1.0112e-08
2506,1.58007,7.97661e-09
2507,1.58096,6.29119e-09
2508,1.58185,4.96115e-09
2509,1.58273,3.91172e-09
2510,1.58362,3.0838e-09
2511,1.5845,2.43076e-09
2512,1.58539,1.91572e-09
2513,1.58627,1.50958e-09
2514,1.58716,1.18937e-09
2515,1.58804,9.36936e-10
2516,1.58893,7.37971e-10
2517,1.58981,5.81171e-10
2518,1.59069,4.57618e-10
2519,1.59158,3.60278e-10
2520,1.59246,2.83601e-10
2521,1.59335,193.013
2522,1.59423,344.902
2523,1.59511,464.389
2524,1.596,558.348
2525,1.59688,632.2
2526,1.59776,690.217
2527,1.59864,735.764
2528,1.59953,771.492
2529,1.60041,799.493
2530,1.60129,821.41
2531,1.60217,838.54
2532,1.60306,851.904
2533,1.60394,862.305
2534,1.60482,870.374
2535,1.6057,876.611
2536,1.60658,881.406
2537,1.60746,885.068
2538,1.60834,887.84
2539,1.60922,889.912
2540,1.61011,891.433
2541,1.61099,892.523
2542,1.61187,893.273
2543,1.61275,893.756
2544,1.61363,894.031
2545,1.61451,894.141
2546,1.61539,894.123
2547,1.61627,894.004
2548,1.61715,893.806
2549,1.61802,893.546
2550,1.6189,893.237
2551,1.61978,892.89
2552,1.62066,892.514
2553,1.62154,892.115
2554,1.62242,891.698
2555,1.6233,891.266
2556,1.62417,890.824
2557,1.62505,890.374
2558,1.62593,889.917
2559,1.62681,889.455
2560,1.62769,888.99
2561,1.62856,888.522
2562,1.62944,888.052
2563,1.63032,887.58
2564,1.6312,887.108
2565,1.63207,886.634
2566,1.63295,886.161
2567,1.63382,885.687
2568,1.6347,885.213
2569,1.63558,884.739
2570,1.63645,884.266
2571,1.63733,883.792
2572,1.6382,883.319
2573,1.63908,882.847
2574,1.63996,882.375
2575,1.64083,881.903
2576,1.64171,881.432
2577,1.64258,880.962
2578,1.64346,880.492
2579,1.64433,880.022
2580,1.6452,879.553
2581,1.64608,879.085
2582,1.64695,878.617
2583,1.64783,878.15
2584,1.6487,877.683
2585,1.64958,877.217
2586,1.65045,876.752
2587,1.65132,876.287
2588,1.6522,875.822
2589,1.65307,875.358
2590,1.65394,874.895
2591,1.65481,874.433
2592,1.65569,873.97
2593,1.65656,873.509
2594,1.65743,873.048
2595,1.6583,872.587
2596,1.65918,872.128
2597,1.66005,871.668
2598,1.66092,871.21
2599,1.66179,870.751
2600,1.66266,870.294
2601,1.66354,869.837
2602,1.66441,869.38
2603,1.66528,868.924
2604,1.66615,868.469
2605,1.66702,868.014
2606,1.66789,867.56
2607,1.66876,867.106
2608,1.66963,866.653
2609,1.6705,866.2
2610,1.67137,865.748
2611,1.67224,865.297
2612,1.67311,864.846
2613,1.67398,864.395
2614,1.67485,863.946
2615,1.67572,863.496
2616,1.67659,863.048
2617,1.67746,862.599
2618,1.67833,862.152
2619,1.6792,861.704
2620,1.68006,861.258
2621,1.68093,860.812
2622,1.6818,860.366
2623,1.68267,859.921
2624,1.68354,859.477
2625,1.6844,859.033
2626,1.68527,858.589
2627,1.68614,858.146
2628,1.68701,857.704
2629,1.68787,857.262
2630,1.68874,856.821
2631,1.68961,856.38
2632,1.69048,855.94
2633,1.69134,855.5
2634,1.69221,855.061
2635,1.69308,854.622
2636,1.69394,854.184
2637,1.69481,853.747
2638,1.69567,853.31
2639,1.69654,852.873
2640,1.69741,852.437
2641,1.69827,852.001
2642,1.69914,851.566
2643,1.7,851.132
2644,1.70087,850.698
2645,1.70173,850.264
2646,1.7026,849.831
2647,1.70346,849.399
2648,1.70433,848.967
2649,1.70519,848.536
2650,1.70606,848.105
2651,1.70692,847.674
2652,1.70778,847.244
2653,1.70865,846.815
2654,1.70951,846.386
2655,1.71038,845.958
2656,1.71124,845.53
2657,1.7121,845.102
2658,1.71297,844.675
2659,1.71383,844.249
2660,1.71469,843.823
2661,1.71556,843.398
2662,1.71642,842.973
2663,1.71728,842.548
2664,1.71814,842.125
2665,1.71901,841.701
2666,1.71987,841.278
2667,1.72073,840.856
2668,1.72159,840.434
2669,1.72245,840.013
2670,1.72332,839.592
2671,1.72418,839.171
2672,1.72504,838.751
2673,1.7259,838.332
2674,1.72676,837.913
2675,1.72762,837.494
2676,1.72848,837.076
2677,1.72934,836.659
2678,1.73021,836.241
2679,1.73107,835.825
2680,1.73192,835.409
2681,1.73279,834.993
2682,1.73365,834.578
2683,1.7345,834.163
2684,1.73537,833.749
2685,1.73623,833.335
2686,1.73708,832.922
2687,1.73794,832.509
2688,1.7388,832.097
2689,1.73966,831.686
2690,1.74052,831.274
2691,1.74138,830.863
2692,1.74224,830.453
2693,1.7431,830.043
2694,1.74396,829.633
2695,1.74481,829.224
2696,1.74567,828.816
2697,1.74653,828.408
2698,1.74739,828
2699,1.74825,827.593
2700,1.7491,827.186
2701,1.74996,826.78
2702,1.75082,826.374
2703,1.75168,825.969
2704,1.75253,825.564
2705,1.75339,825.16
2706,1.75425,824.756
2707,1.75511,824.353
2708,1.75596,823.95
2709,1.75682,823.547
2710,1.75767,823.145
2711,1.75853,822.743
2712,1.75939,822.342
2713,1.76024,821.942
2714,1.7611,821.541
2715,1.76195,821.141
2716,1.76281,820.742
2717,1.76366,820.343
2718,1.76452,819.945
2719,1.76538,819.547
2720,1.76623,819.149
2721,1.76709,818.752
2722,1.76794,818.355
2723,1.76879,817.959
2724,1.76965,817.563
2725,1.77051,817.168
2726,1.77136,816.773
2727,1.77221,816.379
2728,1.77307,815.985
2729,1.77392,815.591
2730,1.77478,815.198
2731,1.77563,814.805
2732,1.77648,814.413
2733,1.77734,814.021
2734,1.77819,813.63
2735,1.77904,813.239
2736,1.7799,812.848
2737,1.78075,812.458
2738,1.7816,812.068
2739,1.78245,811.679
2740,1.78331,811.29
2741,1.78416,810.902
2742,1.78501,810.514
2743,1.78586,810.126
2744,1.78671,809.739
2745,1.78757,809.353
2746,1.78842,808.966
2747,1.78927,808.581
2748,1.79012,808.195
2749,1.79097,807.81
2750,1.79183,807.426
2751,1.79268,807.042
2752,1.79353,806.658
2753,1.79438,806.275
2754,1.79523,805.892
2755,1.79608,805.509
2756,1.79693,805.127
2757,1.79778,804.746
2758,1.79863,804.365
2759,1.79948,803.984
2760,1.80033,803.603
2761,1.80118,667.704
2762,1.80203,564.433
2763,1.80288,485.964
2764,1.80373,426.341
2765,1.80458,381.039
2766,1.80543,346.616
2767,1.80628,320.458
2768,1.80713,300.577
2769,1.80798,285.462
2770,1.80883,273.966
2771,1.80967,265.217
2772,1.81052,258.553
2773,1.81137,253.473
2774,1.81222,249.593
2775,1.81307,246.624
2776,1.81392,244.347
2777,1.81476,242.594
2778,1.81561,241.238
2779,1.81646,240.184
2780,1.81731,239.359
2781,1.81815,238.707
2782,1.819,238.187
2783,1.81985,237.766
2784,1.8207,237.42
2785,1.82154,237.132
2786,1.82239,236.887
2787,1.82324,236.675
2788,1.82409,236.488
2789,1.82493,236.32
2790,1.82578,236.166
2791,1.82662,236.023
2792,1.82747,235.888
2793,1.82832,235.76
2794,1.82916,235.636
2795,1.83001,235.516
2796,1.83085,235.399
2797,1.8317,235.284
2798,1.83255,235.17
2799,1.83339,235.058
2800,1.83424,234.947
2801,1.83508,234.837
2802,1.83593,234.727
2803,1.83677,234.618
2804,1.83762,234.509
2805,1.83846,234.4
2806,1.83931,234.292
2807,1.84015,234.184
2808,1.841,234.076
2809,1.84184,233.968
2810,1.84268,233.861
2811,1.84353,233.753
2812,1.84437,233.646
2813,1.84522,233.539
2814,1.84606,233.432
2815,1.8469,233.325
2816,1.84775,233.218
2817,1.84859,233.112
2818,1.84943,233.005
2819,1.85028,232.899
2820,1.85112,232.793
2821,1.85196,175.193
2822,1.8528,131.826
2823,1.85365,99.1787
2824,1.85449,74.6057
2825,1.85533,56.1126
2826,1.85617,42.1973
2827,1.85702,31.728
2828,1.85786,23.8527
2829,1.8587,17.9294
2830,1.85954,13.475
2831,1.86038,10.1258
2832,1.86122,7.60789
2833,1.86207,5.71523
2834,1.86291,4.29278
2835,1.86375,3.22388
2836,1.86459,2.42077
2837,1.86543,1.81746
2838,1.86627,1.3643
2839,1.86711,1.02398
2840,1.86795,0.768432
2841,1.8688,0.576576
2842,1.86964,0.432556
2843,1.87048,0.324462
2844,1.87132,0.243343
2845,1.87216,0.182478
2846,1.873,0.136816
2847,1.87384,0.102565
2848,1.87468,0.0768768
2849,1.87552,0.0576139
2850,1.87636,0.0431712
2851,1.87719,0.0323442
2852,1.87803,0.0242289
2853,1.87887,0.018147
2854,1.87971,0.0135898
2855,1.88055,0.0101755
2856,1.88139,0.00761785
2857,1.88223,0.00570224
2858,1.88307,0.00426769
2859,1.88391,0.00319357
2860,1.88475,0.00238943
2861,1.88558,0.0017875
2862,1.88642,0.00133701
2863,1.88726,0.000999905
2864,1.8881,0.000747683
2865,1.88894,0.000558999
2866,1.88977,0.000417868
2867,1.89061,0.000312322
2868,1.89145,0.000233401
2869,1.89229,0.000174396
2870,1.89312,0.000130288
2871,1.89396,9.73216e-05
2872,1.8948,7.26856e-05
2873,1.89564,5.42779e-05
2874,1.89647,4.05259e-05
2875,1.89731,3.02536e-05
2876,1.89815,2.25817e-05
2877,1.89898,1.68528e-05
2878,1.89982,1.25754e-05
2879,1.90066,9.38222e-06
2880,1.90149,6.99884e-06
2881,1.90233,5.22012e-06
2882,1.90317,3.89288e-06
2883,1.904,2.90266e-06
2884,1.90484,2.164e-06
2885,1.90567,1.61306e-06
2886,1.90651,1.20222e-06
2887,1.90734,8.95876e-07
2888,1.90818,6.67495e-07
2889,1.90901,4.97261e-07
2890,1.90985,3.70386e-07
2891,1.91068,2.75842e-07
2892,1.91152,2.054e-07
2893,1.91236,1.52925e-07
2894,1.91319,1.13838e-07
2895,1.91403,8.47294e-08
2896,1.91486,6.30544e-08
2897,1.91569,4.69172e-08
2898,1.91653,3.49046e-08
2899,1.91736,2.59639e-08
2900,1.9182,1.93104e-08
2901,1.91903,1.43598e-08
2902,1.91986,1.06767e-08
2903,1.9207,7.93716e-09
2904,1.92153,5.89966e-09
2905,1.92237,4.38453e-09
2906,1.9232,3.25803e-09
2907,1.92403,2.42059e-09
2908,1.92487,1.79814e-09
2909,1.9257,1.33555e-09
2910,1.92653,9.91819e-10
2911,1.92737,7.36443e-10
2912,1.9282,5.4674e-10
2913,1.92903,4.05843e-10
2914,1.92987,3.0121e-10
2915,1.9307,2.2352e-10
2916,1.93153,1.65844e-10
2917,1.93236,1.23031e-10
2918,1.93319,9.12574e-11
2919,1.93403,6.76792e-11
2920,1.93486,5.01854e-11
2921,1.93569,3.72078e-11
2922,1.93652,2.75821e-11
2923,1.93736,2.04434e-11
2924,1.93819,1.51501e-11
2925,1.93902,1.12257e-11
2926,1.93985,8.31659e-12
2927,1.94068,6.16045e-12
2928,1.94151,4.56263e-12
2929,1.94234,3.37872e-12
2930,1.94318,2.50164e-12
2931,1.94401,1.85196e-12
2932,1.94484,1.3708e-12
2933,1.94567,1.0145e-12
2934,1.9465,7.50695e-13
2935,1.94733,5.55406e-13
2936,1.94816,4.10859e-13
2937,1.94899,3.03886e-13
2938,1.94982,2.24731e-13
2939,1.95065,1.66169e-13
2940,1.95148,1.22849e-13
2941,1.95231,193.013
2942,1.95314,335.666
2943,1.95397,441.061
2944,1.9548,518.895
2945,1.95563,576.347
2946,1.95646,618.726
2947,1.95729,649.96
2948,1.95812,672.955
2949,1.95895,689.861
2950,1.95978,702.266
2951,1.9606,711.346
2952,1.96143,717.97
2953,1.96226,722.778
2954,1.96309,726.246
2955,1.96392,728.724
2956,1.96475,730.472
2957,1.96558,731.681
2958,1.96641,732.491
2959,1.96723,733.007
2960,1.96806,733.307
2961,1.96889,733.447
2962,1.96972,733.469
2963,1.97054,733.405
2964,1.97137,733.276
2965,1.9722,733.101
2966,1.97303,732.891
2967,1.97385,732.655
2968,1.97468,732.4
2969,1.97551,732.133
2970,1.97634,731.854
2971,1.97716,731.569
2972,1.97799,731.279
2973,1.97882,730.984
2974,1.97964,730.687
2975,1.98047,730.388
2976,1.9813,730.087
2977,1.98212,729.786
2978,1.98295,729.484
2979,1.98378,729.182
2980,1.9846,728.879
2981,1.98543,728.576
2982,1.98625,728.274
2983,1.98708,727.971
2984,1.9879,727.669
2985,1.98873,727.367
2986,1.98956,727.065
2987,1.99038,726.763
2988,1.99121,726.462
2989,1.99203,726.16
2990,1.99286,725.859
2991,1.99368,725.559
2992,1.99451,725.258
2993,1.99533,724.958
2994,1.99616,724.658
2995,1.99698,724.359
2996,1.99781,724.059
2997,1.99863,723.761
2998,1.99945,723.462
2999,2.00028,723.163
3000,2.0011,722.865
3001,2.00193,722.567
3002,2.00275,722.27
3003,2.00358,721.972
3004,2.0044,721.675
3005,2.00522,721.378
3006,2.00605,721.082
3007,2.00687,720.786
3008,2.00769,720.49
3009,2.00852,720.194
3010,2.00934,719.899
3011,2.01016,719.604
3012,2.01099,719.309
3013,2.01181,719.014
3014,2.01263,718.72
3015,2.01346,718.426
3016,2.01428,718.132
3017,2.0151,717.839
3018,2.01592,717.545
3019,2.01674,717.253
3020,2.01757,716.96
3021,2.01839,716.667
3022,2.01921,716.375
3023,2.02003,716.084
3024,2.02086,715.792
3025,2.02168,715.501
3026,2.0225,715.21
3027,2.02332,714.919
3028,2.02414,714.628
3029,2.02496,714.338
3030,2.02579,714.048
3031,2.02661,713.759
3032,2.02743,713.469
3033,2.02825,713.18
3034,2.02907,712.891
3035,2.02989,712.603
3036,2.03071,712.314
3037,2.03153,712.026
3038,2.03235,711.738
3039,2.03317,711.451
3040,2.03399,711.164
3041,2.03481,710.877
3042,2.03563,710.59
3043,2.03645,710.303
3044,2.03728,710.017
3045,2.03809,709.731
3046,2.03891,709.446
3047,2.03973,709.16
3048,2.04055,708.875
3049,2.04137,708.59
3050,2.04219,708.305
3051,2.04301,708.021
3052,2.04383,707.737
3053,2.04465,707.453
3054,2.04547,707.169
3055,2.04629,706.886
3056,2.04711,706.603
3057,2.04793,706.32
3058,2.04875,706.037
3059,2.04957,705.755
3060,2.05038,705.473
3061,2.0512,705.191
3062,2.05202,704.91
3063,2.05284,704.629
3064,2.05366,704.347
3065,2.05448,704.067
3066,2.05529,703.786
3067,2.05611,703.506
3068,2.05693,703.226
3069,2.05775,702.946
3070,2.05856,702.667
3071,2.05938,702.387
3072,2.0602,702.108
3073,2.06102,701.83
3074,2.06184,701.551
3075,2.06265,701.273
3076,2.06347,700.995
3077,2.06429,700.717
3078,2.0651,700.44
3079,2.06592,700.162
3080,2.06674,699.885
3081,2.06755,699.609
3082,2.06837,699.332
3083,2.06919,699.056
3084,2.07,698.78
3085,2.07082,698.504
3086,2.07164,698.229
3087,2.07245,697.953
3088,2.07327,697.678
3089,2.07409,697.404
3090,2.0749,697.129
3091,2.07572,696.855
3092,2.07653,696.581
3093,2.07735,696.307
3094,2.07816,696.034
3095,2.07898,695.76
3096,2.0798,695.487
3097,2.08061,695.214
3098,2.08143,694.942
3099,2.08224,694.67
3100,2.08306,694.397
3101,2.08387,694.126
3102,2.08469,693.854
3103,2.0855,693.583
3104,2.08632,693.312
3105,2.08713,693.041
3106,2.08794,692.77
3107,2.08876,692.5
3108,2.08957,692.23
3109,2.09039,691.96
3110,2.0912,691.69
3111,2.09202,691.421
3112,2.09283,691.151
3113,2.09364,690.882
3114,2.09446,690.614
3115,2.09527,690.345
3116,2.09609,690.077
3117,2.0969,689.809
3118,2.09771,689.541
3119,2.09853,689.274
3120,2.09934,689.006
3121,2.10015,688.739
3122,2.10097,688.472
3123,2.10178,688.206
3124,2.10259,687.94
3125,2.10341,687.673
3126,2.10422,687.408
3127,2.10503,687.142
3128,2.10584,686.876
3129,2.10666,686.611
3130,2.10747,686.346
3131,2.10828,686.081
3132,2.10909,685.817
3133,2.10991,685.553
3134,2.11072,685.289
3135,2.11153,685.025
3136,2.11234,684.761
3137,2.11316,684.498
3138,2.11397,684.235
3139,2.11478,683.972
3140,2.11559,683.709
3141,2.1164,683.447
3142,2.11721,683.185
3143,2.11803,682.923
3144,2.11884,682.661
3145,2.11965,682.4
3146,2.12046,682.138
3147,2.12127,681.877
3148,2.12208,681.617
3149,2.12289,681.356
3150,2.1237,681.096
3151,2.12451,680.835
3152,2.12533,680.576
3153,2.12613,680.316
3154,2.12695,680.056
3155,2.12776,679.797
3156,2.12857,679.538
3157,2.12938,679.279
3158,2.13019,679.021
3159,2.131,678.762
3160,2.13181,678.504
3161,2.13262,678.246
3162,2.13343,677.989
3163,2.13424,677.731
3164,2.13505,677.474
3165,2.13586,677.217
3166,2.13667,676.96
3167,2.13748,676.703
3168,2.13829,676.447
3169,2.13909,676.191
3170,2.1399,675.935
3171,2.14071,675.679
3172,2.14152,675.424
3173,2.14233,675.169
3174,2.14314,674.914
3175,2.14395,674.659
3176,2.14476,674.404
3177,2.14557,674.15
3178,2.14638,673.896
3179,2.14718,673.642
3180,2.14799,673.388
3181,2.1488,537.614
3182,2.14961,440.751
3183,2.15042,371.651
3184,2.15122,322.358
3185,2.15203,287.193
3186,2.15284,262.105
3187,2.15365,244.203
3188,2.15446,231.425
3189,2.15526,222.298
3190,2.15607,215.775
3191,2.15688,211.107
3192,2.15769,207.761
3193,2.1585,205.357
3194,2.1593,203.624
3195,1.8,212.146
3196,1.8,218.618
3197,1.8,223.534
3198,1.8,227.267
3199,1.8,230.103
3200,1.8,232.256
3201,1.8,233.892
3202,1.8,235.134
3203,1.8,236.078
3204,1.8,236.794
3205,1.8,237.339
3206,1.8,237.752
3207,1.8,238.066
3208,1.8,238.305
3209,1.8,238.486
3210,1.8,238.623
3211,1.8,238.728
3212,1.8,238.807
3213,1.8,238.867
3214,1.8,238.913
3215,1.8,238.948
3216,1.8,238.974
3217,1.8,238.994
3218,1.8,239.009
3219,1.8,239.021
3220,1.8,239.03
3221,1.8,239.036
3222,1.8,239.042
3223,1.8,239.045
3224,1.8,239.048
3225,1.8,239.051
3226,1.8,239.052
3227,1.8,239.053
3228,1.8,239.054
3229,1.8,239.055
3230,1.8,239.056
3231,1.8,239.056
3232,1.8,239.056
3233,1.8,239.057
3234,1.8,239.057
3235,1.8,239.057
3236,1.8,239.057
3237,1.8,239.057
3238,1.8,239.057
3239,1.8,239.057
3240,1.8,239.057
3241,1.8,181.564
3242,1.8,137.898
3243,1.8,104.733
3244,1.8,79.5451
3245,1.8,60.4145
3246,1.8,45.8848
3247,1.8,34.8495
3248,1.8,26.4682
3249,1.8,20.1026
3250,1.8,15.2679
3251,1.8,11.596
3252,1.8,8.80715
3253,1.8,6.68903
3254,1.8,5.08032
3255,1.8,3.8585
3256,1.8,2.93053
3257,1.8,2.22574
3258,1.8,1.69045
3259,1.8,1.2839
3260,1.8,0.975119
3261,1.8,0.740603
3262,1.8,0.562488
3263,1.8,0.42721
3264,1.8,0.324466
3265,1.8,0.246432
3266,1.8,0.187165
3267,1.8,0.142152
3268,1.8,0.107964
3269,1.8,0.0819989
3270,1.8,0.0622781
3271,1.8,0.0473002
3272,1.8,0.0359245
3273,1.8,0.0272847
3274,1.8,0.0207227
3275,1.8,0.0157389
3276,1.8,0.0119537
3277,1.8,0.00907883
3278,1.8,0.00689537
3279,1.8,0.00523704
3280,1.8,0.00397753
3281,1.8,0.00302093
3282,1.8,0.0022944
3283,1.8,0.0017426
3284,1.8,0.0013235
3285,1.8,0.0010052
3286,1.8,0.000763449
3287,1.8,0.000579839
3288,1.8,0.000440388
3289,1.8,0.000334475
3290,1.8,0.000254034
3291,1.8,0.000192938
3292,1.8,0.000146537
3293,1.8,0.000111295
3294,1.8,8.45283e-05
3295,1.8,6.41993e-05
3296,1.8,4.87593e-05
3297,1.8,3.70327e-05
3298,1.8,2.81263e-05
3299,1.8,2.1362e-05
3300,1.8,1.62244e-05
3301,1.8,1.23224e-05
3302,1.8,9.35889e-06
3303,1.8,7.10808e-06
3304,1.8,5.39859e-06
3305,1.8,4.10023e-06
